STATION_ID,STATION_NAME,AVERAGE_YEARLY_PRECIPITATION,YEAR
NFR,NORTH FORK R S,1.3483333333333334,2014
OSM,OCEANSIDE MARINA,0.3416666666666666,2014
ORL,ORLAND,1.22,2014
OXN,OXNARD,0.49166666666666664,2014
PCF,PACIFIC HOUSE (OBSERVER),2.789166666666667,2014
PMS,PALM SPRINGS,0.17916666666666667,2014
PNH,PANOCHE 2W,0.4309090909090909,2014
PSC,PASCOES,1.8,2014
PNF,PINE FLAT DAM,0.7316666666666666,2014
PCV,PLACERVILLE,2.2166666666666663,2014
PLE,PLUMAS EUREKA PARK,2.7158333333333338,2014
PRT,PORTOLA,1.0391666666666668,2014
QNC,QUINCY RS (USFS),1.9458333333333335,2014
RBF,RED BLUFF,1.217272727272727,2014
RGC,ROGERS CAMP,1.90125,2014
HEA,RUSSIAN RIVER NEAR HEALDSBURG,,2014
SCR,SACRAMENTO WB CITY,0.8008333333333333,2014
SGH,SAGEHEN CREEK,1.74,2014
SAP,SALINAS NO2,0.7025,2014
SDG,SAN DIEGO NWS-LINDBERGH FIELD,0.42416666666666664,2014
SFF,SAN FRANCISCO WB AP,0.8999999999999998,2014
SLO,SAN LUIS OBISPO POLY,0.875,2014
ANA,SANTA ANA FIRE STA,0.295,2014
SBR,SANTA BARBARA SANITATION,0.5416666666666666,2014
CRZ,SANTA CRUZ,1.2,2014
SRO,SANTA ROSA,2.007142857142857,2014
SCA,SCOTIA,1.5258333333333332,2014
SRR,SIERRAVILLE RS (USFS),1.5975,2014
SLP,SLY PARK,2.520833333333334,2014
SSG,SODA SPRINGS 1 E,3.286666666666667,2014
SOR,SONORA RS,1.4716666666666667,2014
SEY,SOUTH ENTRANCE YOSEMITE,1.4525,2014
SLK,SOUTH LAKE,1.4016666666666666,2014
SGV,SPRINGVILLE TULE POWERPLANT,0.9683333333333334,2014
SNH,STANDISH HICKEY PARK,,2014
STK,STOCKTON FIRE STATION 4,0.91,2014
STG,STONY GORGE RESERVOIR,0.9641666666666665,2014
STV,STRAWBERRY VALLEY,4.85,2014
SCC,SUCCESS DAM,0.5141666666666667,2014
SSN,SUSANVILLE,0.7858333333333332,2014
