TRACT_ID,YEAR,TOTAL_POPULATION,LAND_AREA
06001435400,2014,4356,0.513
06001435500,2014,3337,0.391
06001435601,2014,5270,0.365
06001435602,2014,5578,0.442
06001435700,2014,4411,0.511
06001435800,2014,5224,0.504
06001435900,2014,5556,0.931
06001436000,2014,4479,0.507
06001436100,2014,6044,0.482
06001436200,2014,4107,0.249
06001436300,2014,7473,0.707
06001436401,2014,7809,1.203
06001436402,2014,2741,1.646
06001436500,2014,4536,0.740
06001436601,2014,6223,0.419
06001436602,2014,5346,0.345
06001436700,2014,3680,0.309
06001436800,2014,4148,0.396
06001436900,2014,6577,0.466
06001437000,2014,3182,0.615
06001437101,2014,6283,18.863
06001437102,2014,4234,0.335
06001437200,2014,7458,0.986
06001437300,2014,3331,0.399
06001437400,2014,3187,0.332
06001437500,2014,4444,0.245
06001437600,2014,3957,0.316
06001437701,2014,3832,0.187
06001437702,2014,5013,0.143
06001437800,2014,4585,0.492
06001437900,2014,2225,0.260
06001438000,2014,3307,0.935
06001438100,2014,7261,0.774
06001438201,2014,5071,0.383
06001438203,2014,4384,2.039
06001438204,2014,5338,0.575
06001438300,2014,4133,0.330
06001438400,2014,2476,0.665
06001440100,2014,2503,10.715
06001440200,2014,6167,0.447
06001440301,2014,6870,1.652
06001440304,2014,5106,0.377
06001440305,2014,4020,0.359
06001440306,2014,3934,0.260
06001440307,2014,4038,0.543
06001440308,2014,5562,0.712
06001440331,2014,3619,0.718
06001440332,2014,3565,0.951
06001440333,2014,2811,0.970
06001440334,2014,4433,0.395
06001440335,2014,6744,0.774
06001440336,2014,4955,0.441
06001441100,2014,4152,5.849
06001441200,2014,7398,1.252
06001441301,2014,3203,1.272
06001441302,2014,5435,0.771
06001441401,2014,7336,0.730
06001441402,2014,5229,0.631
06001441501,2014,6633,1.014
06001441503,2014,6173,29.914
06001441521,2014,6173,0.660
06001441522,2014,5157,0.505
06001441523,2014,4008,0.181
06001441524,2014,4336,0.649
06001441601,2014,4815,0.499
06001441602,2014,7882,0.650
06001441700,2014,7628,0.861
06001441800,2014,7065,0.786
06001441921,2014,3842,0.327
06001441923,2014,5452,0.582
06001441924,2014,7274,0.843
06001441925,2014,6042,1.159
06001441926,2014,4220,0.158
06001441927,2014,4257,0.251
06001442000,2014,3226,3.139
06037408800,2014,3917,0.691
06037430002,2014,7245,0.830
06037430003,2014,4420,4.593
06037430101,2014,5004,0.766
06037430102,2014,5007,0.500
06037430200,2014,1081,1.986
06037430301,2014,4448,9.382
06037430302,2014,6325,0.749
06037430400,2014,4750,1.388
06037430501,2014,4325,1.816
06037430502,2014,6735,1.136
06037430600,2014,4605,1.433
06037430701,2014,5174,1.149
06037430721,2014,3346,1.572
06037430723,2014,4690,0.188
06037430724,2014,5001,0.224
06037430801,2014,6780,0.658
06037430802,2014,4075,0.718
06037430803,2014,5379,0.880
06037430901,2014,4099,0.450
06037430902,2014,4539,0.454
06037431001,2014,7445,0.680
06037431002,2014,3116,0.526
06037431100,2014,7015,1.164
06037431200,2014,6264,0.570
06037431300,2014,2889,0.314
06037431400,2014,3949,0.610
06037431501,2014,4490,0.399
06037431502,2014,4436,0.651
06037431600,2014,3870,0.796
06037431700,2014,6389,1.222
06037431800,2014,6121,0.572
06037431900,2014,4307,0.413
06037432000,2014,7853,0.864
06037432101,2014,4279,0.452
06037432102,2014,5420,0.725
06037432201,2014,4458,0.444
06037432202,2014,4401,0.534
06037432300,2014,4198,0.753
06037432401,2014,4166,0.405
06037432402,2014,6489,0.577
06037432500,2014,8733,1.007
06037432601,2014,6854,0.541
06037432602,2014,4678,0.411
06037432700,2014,5117,0.703
06037432801,2014,3055,0.305
06037432802,2014,5220,0.229
