optimizer,validation_split,lstm_units,learning_rate,batch_size,epochs,rmse
Adagrad,0.05,120.0,0.01,128.0,290.0,127.11809539794922
Adagrad,0.05,110.0,0.0001,128.0,290.0,152.43136596679688
Adagrad,0.05,110.0,0.001,128.0,290.0,146.96795654296875
Adagrad,0.05,110.0,0.01,128.0,290.0,123.1299819946289
Adagrad,0.05,100.0,0.0001,128.0,290.0,202.3863525390625
Adagrad,0.05,100.0,0.001,128.0,290.0,141.97634887695312
Adagrad,0.05,100.0,0.01,128.0,290.0,122.09476470947266
Adagrad,0.05,90.0,0.0001,128.0,290.0,625.6353149414062
Adagrad,0.05,90.0,0.001,128.0,290.0,143.08355712890625
Adagrad,0.05,90.0,0.01,128.0,290.0,124.8564682006836
Adagrad,0.05,80.0,0.0001,128.0,290.0,160.44924926757812
Adagrad,0.05,80.0,0.001,128.0,290.0,143.0575408935547
Adagrad,0.05,80.0,0.01,128.0,290.0,121.6374282836914
Adagrad,0.05,70.0,0.0001,128.0,290.0,187.0495147705078
Adagrad,0.05,70.0,0.001,128.0,290.0,140.89466857910156
Adagrad,0.05,70.0,0.01,128.0,290.0,121.11934661865234
Adagrad,0.05,60.0,0.0001,128.0,290.0,222.55023193359372
Adagrad,0.05,60.0,0.001,128.0,290.0,141.98941040039062
Adagrad,0.05,60.0,0.01,128.0,290.0,122.64094543457033
Adagrad,0.05,50.0,0.0001,128.0,290.0,183.8436279296875
Adagrad,0.05,50.0,0.001,128.0,290.0,150.69509887695312
Adagrad,0.05,50.0,0.01,128.0,290.0,119.0864028930664
Adagrad,0.05,40.0,0.0001,128.0,290.0,148.55938720703125
Adagrad,0.05,40.0,0.001,128.0,290.0,140.98863220214844
Adagrad,0.05,40.0,0.01,128.0,290.0,118.82376098632812
Adagrad,0.05,30.0,0.0001,128.0,290.0,501.0643615722656
Adagrad,0.05,30.0,0.001,128.0,290.0,153.7831268310547
Adagrad,0.05,30.0,0.01,128.0,290.0,118.67144775390624
Adagrad,0.05,20.0,0.0001,128.0,290.0,347.58697509765625
Adagrad,0.05,20.0,0.001,128.0,290.0,152.247802734375
Adagrad,0.05,20.0,0.01,128.0,290.0,125.52395629882812
Adagrad,0.05,10.0,0.0001,128.0,290.0,360.1758117675781
Adagrad,0.05,10.0,0.001,128.0,290.0,214.20098876953125
Adagrad,0.05,10.0,0.01,128.0,290.0,120.96177673339844
Adagrad,0.05,190.0,0.0001,96.0,290.0,148.76919555664062
Adagrad,0.05,190.0,0.001,96.0,290.0,142.32081604003906
Adagrad,0.05,190.0,0.01,96.0,290.0,118.9252471923828
Adagrad,0.05,180.0,0.0001,96.0,290.0,153.30979919433594
Adagrad,0.05,180.0,0.001,96.0,290.0,140.35704040527344
Adagrad,0.05,170.0,0.0001,96.0,290.0,195.9736175537109
