optimizer,validation_split,lstm_units,learning_rate,batch_size,epochs,rmse
Adagrad,0.1,120.0,0.01,128.0,270.0,125.23110961914062
Adagrad,0.1,110.0,0.0001,128.0,270.0,147.0541229248047
Adagrad,0.1,110.0,0.001,128.0,270.0,144.4700927734375
Adagrad,0.1,110.0,0.01,128.0,270.0,126.92326354980467
Adagrad,0.1,100.0,0.0001,128.0,270.0,147.8456573486328
Adagrad,0.1,100.0,0.001,128.0,270.0,141.36224365234375
Adagrad,0.1,100.0,0.01,128.0,270.0,120.77780151367188
Adagrad,0.1,90.0,0.0001,128.0,270.0,184.99220275878903
Adagrad,0.1,90.0,0.001,128.0,270.0,149.91201782226562
Adagrad,0.1,90.0,0.01,128.0,270.0,125.40351104736328
Adagrad,0.1,80.0,0.0001,128.0,270.0,317.4729309082031
Adagrad,0.1,80.0,0.001,128.0,270.0,147.32347106933594
Adagrad,0.1,80.0,0.01,128.0,270.0,125.2763671875
Adagrad,0.1,70.0,0.0001,128.0,270.0,158.9874267578125
Adagrad,0.1,70.0,0.001,128.0,270.0,141.0794677734375
Adagrad,0.1,70.0,0.01,128.0,270.0,118.8359832763672
Adagrad,0.1,60.0,0.0001,128.0,270.0,539.6614379882812
Adagrad,0.1,60.0,0.001,128.0,270.0,143.0289306640625
Adagrad,0.1,60.0,0.01,128.0,270.0,123.31514739990234
Adagrad,0.1,50.0,0.0001,128.0,270.0,467.2664184570313
Adagrad,0.1,50.0,0.001,128.0,270.0,146.1306610107422
Adagrad,0.1,50.0,0.01,128.0,270.0,120.43994140625
Adagrad,0.1,40.0,0.0001,128.0,270.0,160.84890747070312
Adagrad,0.1,40.0,0.001,128.0,270.0,144.76048278808594
Adagrad,0.1,40.0,0.01,128.0,270.0,125.27478790283205
Adagrad,0.1,30.0,0.0001,128.0,270.0,153.33827209472656
Adagrad,0.1,30.0,0.001,128.0,270.0,140.1868896484375
Adagrad,0.1,30.0,0.01,128.0,270.0,113.60636901855467
Adagrad,0.1,20.0,0.0001,128.0,270.0,285.9743347167969
Adagrad,0.1,20.0,0.001,128.0,270.0,152.5894012451172
Adagrad,0.1,20.0,0.01,128.0,270.0,135.17564392089844
Adagrad,0.1,10.0,0.0001,128.0,270.0,154.7224578857422
Adagrad,0.1,10.0,0.001,128.0,270.0,144.72923278808594
Adagrad,0.1,10.0,0.01,128.0,270.0,123.08126068115234
Adagrad,0.1,190.0,0.0001,96.0,270.0,148.70716857910156
Adagrad,0.1,190.0,0.001,96.0,270.0,142.5792236328125
Adagrad,0.1,190.0,0.01,96.0,270.0,113.02007293701172
Adagrad,0.1,180.0,0.0001,96.0,270.0,187.7519378662109
Adagrad,0.1,180.0,0.001,96.0,270.0,143.30958557128906
Adagrad,0.1,180.0,0.01,96.0,270.0,116.09138488769533
Adagrad,0.1,170.0,0.0001,96.0,270.0,148.79432678222656
Adagrad,0.1,170.0,0.001,96.0,270.0,146.04714965820312
Adagrad,0.1,170.0,0.01,96.0,270.0,115.49826049804688
Adagrad,0.1,160.0,0.0001,96.0,270.0,366.1124267578125
Adagrad,0.1,160.0,0.001,96.0,270.0,142.2620086669922
Adagrad,0.1,160.0,0.01,96.0,270.0,116.54425811767578
Adagrad,0.1,150.0,0.0001,96.0,270.0,214.1442413330078
Adagrad,0.1,150.0,0.001,96.0,270.0,142.92076110839844
Adagrad,0.1,150.0,0.01,96.0,270.0,117.30840301513672
Adagrad,0.1,140.0,0.0001,96.0,270.0,147.26597595214844
Adagrad,0.1,140.0,0.001,96.0,270.0,147.10226440429688
Adagrad,0.1,140.0,0.01,96.0,270.0,114.713134765625
Adagrad,0.1,130.0,0.0001,96.0,270.0,148.89967346191406
Adagrad,0.1,130.0,0.001,96.0,270.0,144.7417449951172
Adagrad,0.1,130.0,0.01,96.0,270.0,118.39916229248048
Adagrad,0.1,120.0,0.0001,96.0,270.0,149.83412170410156
Adagrad,0.1,120.0,0.001,96.0,270.0,144.8240509033203
Adagrad,0.1,120.0,0.01,96.0,270.0,112.68350219726562
Adagrad,0.1,110.0,0.0001,96.0,270.0,221.2530059814453
Adagrad,0.1,110.0,0.001,96.0,270.0,138.30416870117188
Adagrad,0.1,110.0,0.01,96.0,270.0,116.46281433105467
Adagrad,0.1,100.0,0.0001,96.0,270.0,408.9102783203125
Adagrad,0.1,100.0,0.001,96.0,270.0,144.6693878173828
Adagrad,0.1,100.0,0.01,96.0,270.0,112.07140350341795
Adagrad,0.1,90.0,0.0001,96.0,270.0,150.9347686767578
Adagrad,0.1,90.0,0.001,96.0,270.0,141.76966857910156
Adagrad,0.1,90.0,0.01,96.0,270.0,114.89969635009766
Adagrad,0.1,80.0,0.0001,96.0,270.0,174.11741638183594
Adagrad,0.1,80.0,0.001,96.0,270.0,144.22552490234375
Adagrad,0.1,80.0,0.01,96.0,270.0,105.19275665283205
Adagrad,0.1,70.0,0.0001,96.0,270.0,172.34092712402344
Adagrad,0.1,70.0,0.001,96.0,270.0,151.42575073242188
Adagrad,0.1,70.0,0.01,96.0,270.0,111.91889190673828
Adagrad,0.1,60.0,0.0001,96.0,270.0,164.2670135498047
Adagrad,0.1,60.0,0.001,96.0,270.0,140.46420288085938
Adagrad,0.1,60.0,0.01,96.0,270.0,115.5663604736328
Adagrad,0.1,50.0,0.0001,96.0,270.0,215.08848571777344
Adagrad,0.1,50.0,0.001,96.0,270.0,147.1004180908203
Adagrad,0.1,50.0,0.01,96.0,270.0,118.65021514892578
Adagrad,0.1,40.0,0.0001,96.0,270.0,176.65757751464844
Adagrad,0.1,40.0,0.001,96.0,270.0,155.63064575195312
Adagrad,0.1,40.0,0.01,96.0,270.0,113.87152099609376
Adagrad,0.1,30.0,0.0001,96.0,270.0,153.442138671875
Adagrad,0.1,30.0,0.001,96.0,270.0,142.8999786376953
Adagrad,0.1,30.0,0.01,96.0,270.0,118.0954132080078
Adagrad,0.1,20.0,0.0001,96.0,270.0,155.3330841064453
Adagrad,0.1,20.0,0.001,96.0,270.0,149.8551483154297
Adagrad,0.1,20.0,0.01,96.0,270.0,115.86735534667967
Adagrad,0.1,10.0,0.0001,96.0,270.0,145.44834899902344
Adagrad,0.1,10.0,0.001,96.0,270.0,161.00424194335938
Adagrad,0.1,10.0,0.01,96.0,270.0,126.23458099365234
Adagrad,0.1,190.0,0.0001,64.0,270.0,167.66403198242188
Adagrad,0.1,190.0,0.001,64.0,270.0,142.05303955078125
Adagrad,0.1,190.0,0.01,64.0,270.0,102.931396484375
Adagrad,0.1,180.0,0.0001,64.0,270.0,150.58897399902344
Adagrad,0.1,180.0,0.001,64.0,270.0,141.4869842529297
Adagrad,0.1,180.0,0.01,64.0,270.0,103.2670440673828
Adagrad,0.1,170.0,0.0001,64.0,270.0,146.8603973388672
Adagrad,0.1,170.0,0.001,64.0,270.0,143.8717803955078
Adagrad,0.1,170.0,0.01,64.0,270.0,102.59341430664062
Adagrad,0.1,160.0,0.0001,64.0,270.0,144.79837036132812
Adagrad,0.1,160.0,0.001,64.0,270.0,140.08387756347656
Adagrad,0.1,160.0,0.01,64.0,270.0,103.11708068847656
Adagrad,0.1,150.0,0.0001,64.0,270.0,145.43856811523438
Adagrad,0.1,150.0,0.001,64.0,270.0,144.06094360351562
Adagrad,0.1,150.0,0.01,64.0,270.0,103.5648422241211
Adagrad,0.1,140.0,0.0001,64.0,270.0,146.3526611328125
Adagrad,0.1,140.0,0.001,64.0,270.0,141.05599975585938
Adagrad,0.1,140.0,0.01,64.0,270.0,104.88617706298828
Adagrad,0.1,130.0,0.0001,64.0,270.0,163.42591857910156
Adagrad,0.1,130.0,0.001,64.0,270.0,141.45310974121094
Adagrad,0.1,130.0,0.01,64.0,270.0,103.28545379638672
Adagrad,0.1,120.0,0.0001,64.0,270.0,149.38380432128906
Adagrad,0.1,120.0,0.001,64.0,270.0,142.85208129882812
Adagrad,0.1,120.0,0.01,64.0,270.0,102.29632568359376
Adagrad,0.1,110.0,0.0001,64.0,270.0,520.5431518554688
Adagrad,0.1,110.0,0.001,64.0,270.0,137.5071258544922
Adagrad,0.1,110.0,0.01,64.0,270.0,112.17637634277344
Adagrad,0.1,100.0,0.0001,64.0,270.0,151.82919311523438
Adagrad,0.1,100.0,0.001,64.0,270.0,148.1710968017578
Adagrad,0.1,100.0,0.01,64.0,270.0,108.39816284179688
Adagrad,0.1,90.0,0.0001,64.0,270.0,168.75552368164062
Adagrad,0.1,90.0,0.001,64.0,270.0,139.0110321044922
Adagrad,0.1,90.0,0.01,64.0,270.0,103.6943817138672
Adagrad,0.1,80.0,0.0001,64.0,270.0,252.27688598632807
Adagrad,0.1,80.0,0.001,64.0,270.0,141.42684936523438
Adagrad,0.1,80.0,0.01,64.0,270.0,99.01097106933594
Adagrad,0.1,70.0,0.0001,64.0,270.0,153.0659942626953
Adagrad,0.1,70.0,0.001,64.0,270.0,143.8776397705078
Adagrad,0.1,70.0,0.01,64.0,270.0,105.99732971191406
Adagrad,0.1,60.0,0.0001,64.0,270.0,152.8325653076172
Adagrad,0.1,60.0,0.001,64.0,270.0,140.65379333496094
Adagrad,0.1,60.0,0.01,64.0,270.0,109.19603729248048
Adagrad,0.1,50.0,0.0001,64.0,270.0,142.4084014892578
Adagrad,0.1,50.0,0.001,64.0,270.0,141.5647430419922
Adagrad,0.1,50.0,0.01,64.0,270.0,100.19586181640624
Adagrad,0.1,40.0,0.0001,64.0,270.0,327.6234130859375
Adagrad,0.1,40.0,0.001,64.0,270.0,137.5292510986328
Adagrad,0.1,40.0,0.01,64.0,270.0,111.87498474121094
Adagrad,0.1,30.0,0.0001,64.0,270.0,469.04443359375
Adagrad,0.1,30.0,0.001,64.0,270.0,143.88995361328125
Adagrad,0.1,30.0,0.01,64.0,270.0,100.05653381347656
Adagrad,0.1,20.0,0.0001,64.0,270.0,526.2140502929688
Adagrad,0.1,20.0,0.001,64.0,270.0,135.73435974121094
Adagrad,0.1,20.0,0.01,64.0,270.0,112.15239715576172
Adagrad,0.1,10.0,0.0001,64.0,270.0,244.1765594482422
Adagrad,0.1,10.0,0.001,64.0,270.0,138.603759765625
Adagrad,0.1,10.0,0.01,64.0,270.0,119.83313751220705
Adagrad,0.1,190.0,0.0001,32.0,270.0,144.3711395263672
Adagrad,0.1,190.0,0.001,32.0,270.0,138.5268096923828
Adagrad,0.1,190.0,0.01,32.0,270.0,81.43240356445312
Adagrad,0.1,180.0,0.0001,32.0,270.0,149.17076110839844
Adagrad,0.1,180.0,0.001,32.0,270.0,139.65731811523438
Adagrad,0.1,180.0,0.01,32.0,270.0,83.88758087158203
Adagrad,0.1,170.0,0.0001,32.0,270.0,146.224609375
Adagrad,0.1,170.0,0.001,32.0,270.0,137.69061279296875
Adagrad,0.1,170.0,0.01,32.0,270.0,81.3475570678711
Adagrad,0.1,160.0,0.0001,32.0,270.0,147.30992126464844
Adagrad,0.1,160.0,0.001,32.0,270.0,138.14974975585938
Adagrad,0.1,160.0,0.01,32.0,270.0,80.45872497558594
Adagrad,0.1,150.0,0.0001,32.0,270.0,147.15597534179688
Adagrad,0.1,150.0,0.001,32.0,270.0,144.70314025878906
Adagrad,0.1,150.0,0.01,32.0,270.0,81.28147888183594
Adagrad,0.1,140.0,0.0001,32.0,270.0,148.1025848388672
Adagrad,0.1,140.0,0.001,32.0,270.0,136.7355194091797
Adagrad,0.1,140.0,0.01,32.0,270.0,85.13604736328125
Adagrad,0.1,130.0,0.0001,32.0,270.0,140.92156982421875
Adagrad,0.1,130.0,0.001,32.0,270.0,136.17840576171875
Adagrad,0.1,130.0,0.01,32.0,270.0,78.52122497558594
Adagrad,0.1,120.0,0.0001,32.0,270.0,148.1780548095703
Adagrad,0.1,120.0,0.001,32.0,270.0,139.13687133789062
Adagrad,0.1,120.0,0.01,32.0,270.0,86.78528594970703
Adagrad,0.1,110.0,0.0001,32.0,270.0,150.16285705566406
Adagrad,0.1,110.0,0.001,32.0,270.0,138.39952087402344
Adagrad,0.1,110.0,0.01,32.0,270.0,83.33545684814453
Adagrad,0.1,100.0,0.0001,32.0,270.0,147.4628143310547
Adagrad,0.1,100.0,0.001,32.0,270.0,136.82725524902344
Adagrad,0.1,100.0,0.01,32.0,270.0,80.8961181640625
Adagrad,0.1,90.0,0.0001,32.0,270.0,147.47206115722656
Adagrad,0.1,90.0,0.001,32.0,270.0,135.61599731445312
Adagrad,0.1,90.0,0.01,32.0,270.0,86.63103485107422
Adagrad,0.1,80.0,0.0001,32.0,270.0,153.6035614013672
Adagrad,0.1,80.0,0.001,32.0,270.0,140.0445098876953
Adagrad,0.1,80.0,0.01,32.0,270.0,79.62625122070312
Adagrad,0.1,70.0,0.0001,32.0,270.0,162.69384765625
Adagrad,0.1,70.0,0.001,32.0,270.0,146.04039001464844
Adagrad,0.1,70.0,0.01,32.0,270.0,81.46668243408203
Adagrad,0.1,60.0,0.0001,32.0,270.0,142.1551513671875
Adagrad,0.1,60.0,0.001,32.0,270.0,139.27572631835938
Adagrad,0.1,60.0,0.01,32.0,270.0,81.00393676757812
Adagrad,0.1,50.0,0.0001,32.0,270.0,221.56033325195312
Adagrad,0.1,50.0,0.001,32.0,270.0,140.7993621826172
Adagrad,0.1,50.0,0.01,32.0,270.0,81.02375793457031
Adagrad,0.1,40.0,0.0001,32.0,270.0,355.8304138183594
Adagrad,0.1,40.0,0.001,32.0,270.0,140.5948028564453
Adagrad,0.1,40.0,0.01,32.0,270.0,90.97550964355467
Adagrad,0.1,30.0,0.0001,32.0,270.0,145.30043029785156
Adagrad,0.1,30.0,0.001,32.0,270.0,139.68402099609375
Adagrad,0.1,30.0,0.01,32.0,270.0,86.67359924316406
Adagrad,0.1,20.0,0.0001,32.0,270.0,192.78433227539065
Adagrad,0.1,20.0,0.001,32.0,270.0,149.0384521484375
Adagrad,0.1,20.0,0.01,32.0,270.0,82.62779998779297
Adagrad,0.1,10.0,0.0001,32.0,270.0,157.02268981933594
Adagrad,0.1,10.0,0.001,32.0,270.0,191.2555084228516
Adagrad,0.1,10.0,0.01,32.0,270.0,94.97211456298828
Adagrad,0.1,190.0,0.0001,160.0,250.0,150.4574737548828
Adagrad,0.1,190.0,0.001,160.0,250.0,145.4430389404297
Adagrad,0.1,190.0,0.01,160.0,250.0,123.52466583251952
Adagrad,0.1,180.0,0.0001,160.0,250.0,342.3457336425781
Adagrad,0.1,180.0,0.001,160.0,250.0,146.00045776367188
Adagrad,0.1,180.0,0.01,160.0,250.0,125.4576644897461
Adagrad,0.1,170.0,0.0001,160.0,250.0,145.482666015625
Adagrad,0.1,170.0,0.001,160.0,250.0,145.09010314941406
Adagrad,0.1,170.0,0.01,160.0,250.0,124.99730682373048
Adagrad,0.1,160.0,0.0001,160.0,250.0,149.36643981933594
Adagrad,0.1,160.0,0.001,160.0,250.0,146.8490753173828
Adagrad,0.1,160.0,0.01,160.0,250.0,124.43830871582033
Adagrad,0.1,150.0,0.0001,160.0,250.0,152.859375
Adagrad,0.1,150.0,0.001,160.0,250.0,147.2329864501953
Adagrad,0.1,150.0,0.01,160.0,250.0,126.00260162353516
Adagrad,0.1,140.0,0.0001,160.0,250.0,176.15673828125
Adagrad,0.1,140.0,0.001,160.0,250.0,146.60154724121094
Adagrad,0.1,140.0,0.01,160.0,250.0,124.78302001953124
Adagrad,0.1,130.0,0.0001,160.0,250.0,258.97784423828125
Adagrad,0.1,130.0,0.001,160.0,250.0,146.10165405273438
Adagrad,0.1,130.0,0.01,160.0,250.0,122.14920043945312
Adagrad,0.1,120.0,0.0001,160.0,250.0,151.6099395751953
Adagrad,0.1,120.0,0.001,160.0,250.0,144.5321044921875
Adagrad,0.1,120.0,0.01,160.0,250.0,125.44876098632812
Adagrad,0.1,110.0,0.0001,160.0,250.0,145.53363037109375
Adagrad,0.1,110.0,0.001,160.0,250.0,148.32725524902344
Adagrad,0.1,110.0,0.01,160.0,250.0,128.5116424560547
Adagrad,0.1,100.0,0.0001,160.0,250.0,230.1392822265625
Adagrad,0.1,100.0,0.001,160.0,250.0,144.58877563476562
Adagrad,0.1,100.0,0.01,160.0,250.0,123.07703399658205
Adagrad,0.1,90.0,0.0001,160.0,250.0,160.7496337890625
Adagrad,0.1,90.0,0.001,160.0,250.0,148.25852966308594
Adagrad,0.1,90.0,0.01,160.0,250.0,123.52201080322266
Adagrad,0.1,80.0,0.0001,160.0,250.0,214.5086975097656
Adagrad,0.1,80.0,0.001,160.0,250.0,146.35202026367188
Adagrad,0.1,80.0,0.01,160.0,250.0,126.53390502929688
Adagrad,0.1,70.0,0.0001,160.0,250.0,147.3678741455078
Adagrad,0.1,70.0,0.001,160.0,250.0,144.1465606689453
Adagrad,0.1,70.0,0.01,160.0,250.0,130.06198120117188
Adagrad,0.1,60.0,0.0001,160.0,250.0,147.7284393310547
Adagrad,0.1,60.0,0.001,160.0,250.0,145.11865234375
Adagrad,0.1,60.0,0.01,160.0,250.0,121.02191925048828
Adagrad,0.1,50.0,0.0001,160.0,250.0,901.330322265625
Adagrad,0.1,50.0,0.01,160.0,250.0,133.24774169921875
Adagrad,0.1,50.0,0.001,160.0,250.0,144.0847625732422
Adagrad,0.1,40.0,0.0001,160.0,250.0,237.2934417724609
Adagrad,0.1,40.0,0.001,160.0,250.0,143.66500854492188
Adagrad,0.1,30.0,0.0001,160.0,250.0,285.4372863769531
Adagrad,0.1,40.0,0.01,160.0,250.0,125.46341705322266
Adagrad,0.1,30.0,0.001,160.0,250.0,142.5501251220703
Adagrad,0.1,30.0,0.01,160.0,250.0,127.24766540527344
Adagrad,0.1,20.0,0.0001,160.0,250.0,185.4943084716797
Adagrad,0.1,20.0,0.001,160.0,250.0,151.2218017578125
Adagrad,0.1,20.0,0.01,160.0,250.0,125.07000732421876
Adagrad,0.1,10.0,0.0001,160.0,250.0,449.7184753417969
Adagrad,0.1,10.0,0.001,160.0,250.0,143.73916625976562
Adagrad,0.1,10.0,0.01,160.0,250.0,130.69647216796875
Adagrad,0.1,190.0,0.0001,128.0,250.0,146.9768524169922
Adagrad,0.1,190.0,0.001,128.0,250.0,146.31895446777344
Adagrad,0.1,190.0,0.01,128.0,250.0,124.2175521850586
Adagrad,0.1,180.0,0.0001,128.0,250.0,189.3111572265625
Adagrad,0.1,180.0,0.001,128.0,250.0,147.4646453857422
Adagrad,0.1,180.0,0.01,128.0,250.0,122.7217788696289
Adagrad,0.1,170.0,0.0001,128.0,250.0,150.15049743652344
Adagrad,0.1,170.0,0.001,128.0,250.0,144.15806579589844
Adagrad,0.1,170.0,0.01,128.0,250.0,122.48726654052734
Adagrad,0.1,160.0,0.0001,128.0,250.0,199.75091552734372
Adagrad,0.1,160.0,0.001,128.0,250.0,143.40406799316406
Adagrad,0.1,160.0,0.01,128.0,250.0,126.55916595458984
Adagrad,0.1,150.0,0.0001,128.0,250.0,177.30865478515625
Adagrad,0.1,150.0,0.001,128.0,250.0,143.96945190429688
Adagrad,0.1,150.0,0.01,128.0,250.0,127.9967803955078
Adagrad,0.1,140.0,0.0001,128.0,250.0,210.79046630859372
Adagrad,0.1,140.0,0.001,128.0,250.0,143.37094116210938
Adagrad,0.1,140.0,0.01,128.0,250.0,120.68417358398438
Adagrad,0.1,130.0,0.0001,128.0,250.0,145.98851013183594
Adagrad,0.1,130.0,0.001,128.0,250.0,142.46218872070312
Adagrad,0.1,130.0,0.01,128.0,250.0,124.50494384765624
Adagrad,0.1,120.0,0.0001,128.0,250.0,171.96279907226562
Adagrad,0.1,120.0,0.001,128.0,250.0,144.76438903808594
Adagrad,0.1,120.0,0.01,128.0,250.0,121.7555923461914
Adagrad,0.1,110.0,0.0001,128.0,250.0,162.16232299804688
Adagrad,0.1,110.0,0.001,128.0,250.0,147.6664276123047
Adagrad,0.1,110.0,0.01,128.0,250.0,122.9917449951172
Adagrad,0.1,100.0,0.0001,128.0,250.0,146.03958129882812
Adagrad,0.1,100.0,0.001,128.0,250.0,149.42874145507812
Adagrad,0.1,100.0,0.01,128.0,250.0,124.67442321777344
Adagrad,0.1,90.0,0.0001,128.0,250.0,175.12686157226562
Adagrad,0.1,90.0,0.001,128.0,250.0,149.564208984375
Adagrad,0.1,90.0,0.01,128.0,250.0,122.85430908203124
Adagrad,0.1,80.0,0.0001,128.0,250.0,155.69021606445312
Adagrad,0.1,80.0,0.001,128.0,250.0,140.74075317382812
Adagrad,0.1,80.0,0.01,128.0,250.0,129.2509307861328
Adagrad,0.1,70.0,0.0001,128.0,250.0,295.80194091796875
Adagrad,0.1,70.0,0.001,128.0,250.0,140.86270141601562
Adagrad,0.1,70.0,0.01,128.0,250.0,130.32919311523438
Adagrad,0.1,60.0,0.0001,128.0,250.0,292.0030517578125
Adagrad,0.1,60.0,0.001,128.0,250.0,141.81114196777344
Adagrad,0.1,60.0,0.01,128.0,250.0,136.06993103027344
Adagrad,0.1,50.0,0.0001,128.0,250.0,270.4624938964844
Adagrad,0.1,50.0,0.001,128.0,250.0,143.1958770751953
Adagrad,0.1,50.0,0.01,128.0,250.0,127.84455108642578
Adagrad,0.1,40.0,0.0001,128.0,250.0,315.6181030273437
Adagrad,0.1,40.0,0.001,128.0,250.0,151.3114776611328
Adagrad,0.1,40.0,0.01,128.0,250.0,122.8483428955078
Adagrad,0.1,30.0,0.0001,128.0,250.0,255.6933135986328
Adagrad,0.1,30.0,0.001,128.0,250.0,154.32839965820312
Adagrad,0.1,30.0,0.01,128.0,250.0,126.5990753173828
Adagrad,0.1,20.0,0.0001,128.0,250.0,590.2871704101562
Adagrad,0.1,20.0,0.001,128.0,250.0,164.41114807128906
Adagrad,0.1,20.0,0.01,128.0,250.0,134.15647888183594
Adagrad,0.1,10.0,0.0001,128.0,250.0,216.33741760253903
Adagrad,0.1,10.0,0.001,128.0,250.0,151.4838104248047
Adagrad,0.1,10.0,0.01,128.0,250.0,138.60302734375
Adagrad,0.1,190.0,0.0001,96.0,250.0,143.86692810058594
Adagrad,0.1,190.0,0.001,96.0,250.0,147.53350830078125
Adagrad,0.1,190.0,0.01,96.0,250.0,119.88561248779295
Adagrad,0.1,180.0,0.0001,96.0,250.0,147.09060668945312
Adagrad,0.1,180.0,0.001,96.0,250.0,143.200439453125
Adagrad,0.1,180.0,0.01,96.0,250.0,121.67929077148438
Adagrad,0.1,170.0,0.0001,96.0,250.0,146.2726287841797
Adagrad,0.1,170.0,0.001,96.0,250.0,146.0915069580078
Adagrad,0.1,170.0,0.01,96.0,250.0,116.79969787597656
Adagrad,0.1,160.0,0.0001,96.0,250.0,249.2668914794922
Adagrad,0.1,160.0,0.001,96.0,250.0,142.5966796875
Adagrad,0.1,160.0,0.01,96.0,250.0,111.943603515625
Adagrad,0.1,150.0,0.0001,96.0,250.0,144.09811401367188
Adagrad,0.1,150.0,0.001,96.0,250.0,144.10662841796875
Adagrad,0.1,150.0,0.01,96.0,250.0,116.1769790649414
Adagrad,0.1,140.0,0.0001,96.0,250.0,147.5124969482422
Adagrad,0.1,140.0,0.001,96.0,250.0,141.22479248046875
Adagrad,0.1,140.0,0.01,96.0,250.0,115.59093475341795
Adagrad,0.1,130.0,0.0001,96.0,250.0,147.61654663085938
Adagrad,0.1,130.0,0.001,96.0,250.0,141.16787719726562
Adagrad,0.1,130.0,0.01,96.0,250.0,118.1443862915039
Adagrad,0.1,120.0,0.0001,96.0,250.0,154.57183837890625
Adagrad,0.1,120.0,0.001,96.0,250.0,145.7606964111328
Adagrad,0.1,120.0,0.01,96.0,250.0,119.09760284423828
Adagrad,0.1,110.0,0.0001,96.0,250.0,214.2476348876953
Adagrad,0.1,110.0,0.001,96.0,250.0,139.86160278320312
Adagrad,0.1,110.0,0.01,96.0,250.0,114.58197021484376
Adagrad,0.1,100.0,0.0001,96.0,250.0,167.4838104248047
Adagrad,0.1,100.0,0.001,96.0,250.0,144.2175750732422
Adagrad,0.1,100.0,0.01,96.0,250.0,116.00837707519533
Adagrad,0.1,90.0,0.0001,96.0,250.0,150.869384765625
Adagrad,0.1,90.0,0.001,96.0,250.0,144.74700927734375
Adagrad,0.1,90.0,0.01,96.0,250.0,119.03041076660156
Adagrad,0.1,80.0,0.0001,96.0,250.0,157.07049560546875
Adagrad,0.1,80.0,0.001,96.0,250.0,148.5286865234375
Adagrad,0.1,80.0,0.01,96.0,250.0,119.32791900634766
Adagrad,0.1,70.0,0.0001,96.0,250.0,150.4156036376953
Adagrad,0.1,70.0,0.001,96.0,250.0,146.0078125
Adagrad,0.1,70.0,0.01,96.0,250.0,119.55821228027344
Adagrad,0.1,60.0,0.0001,96.0,250.0,314.2763977050781
Adagrad,0.1,60.0,0.001,96.0,250.0,148.79190063476562
Adagrad,0.1,60.0,0.01,96.0,250.0,121.07970428466795
Adagrad,0.1,50.0,0.0001,96.0,250.0,300.92584228515625
Adagrad,0.1,50.0,0.001,96.0,250.0,138.0659637451172
Adagrad,0.1,50.0,0.01,96.0,250.0,124.48775482177734
Adagrad,0.1,40.0,0.0001,96.0,250.0,150.61224365234375
Adagrad,0.1,40.0,0.001,96.0,250.0,147.03656005859375
Adagrad,0.1,40.0,0.01,96.0,250.0,121.1826629638672
Adagrad,0.1,30.0,0.0001,96.0,250.0,205.8205718994141
Adagrad,0.1,30.0,0.001,96.0,250.0,143.54241943359375
Adagrad,0.1,30.0,0.01,96.0,250.0,126.67096710205078
Adagrad,0.1,20.0,0.0001,96.0,250.0,354.4714050292969
Adagrad,0.1,20.0,0.001,96.0,250.0,142.7945556640625
Adagrad,0.1,20.0,0.01,96.0,250.0,127.0770492553711
Adagrad,0.1,10.0,0.0001,96.0,250.0,281.2913818359375
Adagrad,0.1,10.0,0.001,96.0,250.0,151.9785919189453
Adagrad,0.1,10.0,0.01,96.0,250.0,130.3030548095703
Adagrad,0.1,190.0,0.0001,64.0,250.0,150.80189514160156
Adagrad,0.1,190.0,0.001,64.0,250.0,136.75331115722656
Adagrad,0.1,190.0,0.01,64.0,250.0,106.80048370361328
Adagrad,0.1,180.0,0.0001,64.0,250.0,149.56764221191406
Adagrad,0.1,180.0,0.001,64.0,250.0,146.44906616210938
Adagrad,0.1,180.0,0.01,64.0,250.0,107.27368927001952
Adagrad,0.1,170.0,0.0001,64.0,250.0,149.66639709472656
Adagrad,0.1,170.0,0.001,64.0,250.0,141.3772430419922
Adagrad,0.1,170.0,0.01,64.0,250.0,106.04784393310548
Adagrad,0.1,160.0,0.0001,64.0,250.0,153.63037109375
Adagrad,0.1,160.0,0.001,64.0,250.0,142.27096557617188
Adagrad,0.1,160.0,0.01,64.0,250.0,105.66111755371094
Adagrad,0.1,150.0,0.0001,64.0,250.0,162.24769592285156
Adagrad,0.1,150.0,0.001,64.0,250.0,145.35548400878906
Adagrad,0.1,150.0,0.01,64.0,250.0,107.63231658935548
Adagrad,0.1,140.0,0.0001,64.0,250.0,146.997314453125
Adagrad,0.1,140.0,0.001,64.0,250.0,139.82972717285156
Adagrad,0.1,140.0,0.01,64.0,250.0,105.97794342041016
Adagrad,0.1,130.0,0.0001,64.0,250.0,149.8079071044922
Adagrad,0.1,130.0,0.001,64.0,250.0,143.0393524169922
Adagrad,0.1,130.0,0.01,64.0,250.0,108.3107681274414
Adagrad,0.1,120.0,0.0001,64.0,250.0,153.31744384765625
Adagrad,0.1,120.0,0.001,64.0,250.0,140.34210205078125
Adagrad,0.1,120.0,0.01,64.0,250.0,104.85035705566406
Adagrad,0.1,110.0,0.0001,64.0,250.0,145.5866241455078
Adagrad,0.1,110.0,0.001,64.0,250.0,147.98403930664062
Adagrad,0.1,110.0,0.01,64.0,250.0,103.71878814697266
Adagrad,0.1,100.0,0.0001,64.0,250.0,145.83248901367188
Adagrad,0.1,100.0,0.001,64.0,250.0,143.02175903320312
Adagrad,0.1,100.0,0.01,64.0,250.0,102.42176055908205
Adagrad,0.1,90.0,0.0001,64.0,250.0,219.53079223632807
